Specimen,Cc,Cw,Tc,UCS,Tp,Tt 
C30W60T28,0.3,0.6,28,5980.95,3221.78,679.72
C30W60T42,0.3,0.6,42,7687.07,4312.24,986.65
C30W60T60,0.3,0.6,60,7782.31,4358.19,886.65
C30W60T90,0.3,0.6,90,9115.65,4063.76,782.51
C30W70T07,0.3,0.7,7,2621.32,1010.63,190.99
C30W70T14,0.3,0.7,14,3689.12,1432.39,397.89
C30W70T28,0.3,0.7,28,3732.65,1599.84,339.86
C30W70T42,0.3,0.7,42,4969.39,2541.44,459.53
C30W70T60,0.3,0.7,60,5480.27,2680.36,403.2642
C30W70T90,0.3,0.7,90,5780.27,3203.88,570.11
C30W80T07,0.3,0.8,7,1481.5,640.16,148.2539
C30W80T14,0.3,0.8,14,2660.45,1061.03,276.79
C30W80T28,0.3,0.8,28,2720.88,1086.54,278.52
C30W80T42,0.3,0.8,42,3568.71,1337.34,218.29
C30W80T60,0.3,0.8,60,3693.83,1717.86,274.73
C30W80T90,0.3,0.8,90,3977.55,1876.19,413.19
C30W90T07,0.3,0.9,7,1398.98,492.88,153.83
C30W90T14,0.3,0.9,14,1768.91,367.05,12.6
C30W90T28,0.3,0.9,28,2373.95,816.56,133.62
C30W90T42,0.3,0.9,42,2400.32,727.02,73.14
C30W90T60,0.3,0.9,60,2842.18,1162.58,251.79
C30W90T90,0.3,0.9,90,3283.4,965.46,125.8
