#,ST,LL,PI,S,FA,M,A/B,Na/Al,Si/Al,UCS
203,S1,116,88.46,35,0,14.5,0.45,1.05,1.49,6.519
204,S1,116,88.46,40,0,14.5,0.45,1.05,1.49,8.7
205,S1,116,88.46,50,0,14.5,0.45,1.05,1.49,10.35
206,S1,116,88.46,25,0,14.5,0.65,1.52,1.49,4.951
207,S1,116,88.46,30,0,14.5,0.65,1.52,1.49,5.471
208,S1,116,88.46,35,0,14.5,0.65,1.52,1.49,6.285
209,S1,116,88.46,40,0,14.5,0.65,1.52,1.49,7.956
210,S1,116,88.46,50,0,14.5,0.65,1.52,1.49,10.92
211,S2,82.2,56.46,25,0,12,0.45,0.93,1.49,6.304
212,S2,82.2,56.46,30,0,12,0.45,0.93,1.49,11.62
213,S2,82.2,56.46,35,0,12,0.45,0.93,1.49,13.87
214,S2,82.2,56.46,40,0,12,0.45,0.93,1.49,15.55
215,S2,82.2,56.46,50,0,12,0.45,0.93,1.49,18.53
216,S2,82.2,56.46,25,0,12,0.65,1.34,1.49,10.69
217,S2,82.2,56.46,30,0,12,0.65,1.34,1.49,12.35
218,S2,82.2,56.46,35,0,12,0.65,1.34,1.49,13.26
219,S2,82.2,56.46,40,0,12,0.65,1.34,1.49,13.66
220,S2,82.2,56.46,50,0,12,0.65,1.34,1.49,15.69
221,S2,82.2,56.46,25,0,14.5,0.45,1.05,1.49,10.08
222,S2,82.2,56.46,30,0,14.5,0.45,1.05,1.49,12.59
223,S2,82.2,56.46,35,0,14.5,0.45,1.05,1.49,13.45
224,S2,82.2,56.46,40,0,14.5,0.45,1.05,1.49,15.12
225,S2,82.2,56.46,50,0,14.5,0.45,1.05,1.49,15.36
226,S2,82.2,56.46,25,0,14.5,0.65,1.52,1.49,8.791
227,S2,82.2,56.46,30,0,14.5,0.65,1.52,1.49,10.95
228,S2,82.2,56.46,35,0,14.5,0.65,1.52,1.49,12.02
229,S2,82.2,56.46,40,0,14.5,0.65,1.52,1.49,14.26
230,S2,82.2,56.46,50,0,14.5,0.65,1.52,1.49,17.04
231,S3,37.7,14.07,25,0,12,0.45,0.93,1.49,15.86
232,S3,37.7,14.07,30,0,12,0.45,0.93,1.49,18.92
233,S3,37.7,14.07,35,0,12,0.45,0.93,1.49,19.46
234,S3,37.7,14.07,40,0,12,0.45,0.93,1.49,22.03
235,S3,37.7,14.07,50,0,12,0.45,0.93,1.49,23.48
236,S3,37.7,14.07,25,0,12,0.65,1.34,1.49,17.25
237,S3,37.7,14.07,30,0,12,0.65,1.34,1.49,18.98
238,S3,37.7,14.07,35,0,12,0.65,1.34,1.49,20.72
239,S3,37.7,14.07,40,0,12,0.65,1.34,1.49,22.38
240,S3,37.7,14.07,50,0,12,0.65,1.34,1.49,24.26
241,S3,37.7,14.07,25,0,14.5,0.45,1.05,1.49,14
242,S3,37.7,14.07,30,0,14.5,0.45,1.05,1.49,17.14
243,S3,37.7,14.07,35,0,14.5,0.45,1.05,1.49,20.41
244,S3,37.7,14.07,40,0,14.5,0.45,1.05,1.49,21.89
245,S3,37.7,14.07,50,0,14.5,0.45,1.05,1.49,22.71
246,S3,37.7,14.07,25,0,14.5,0.65,1.52,1.49,11.46
247,S3,37.7,14.07,30,0,14.5,0.65,1.52,1.49,14.33
248,S3,37.7,14.07,35,0,14.5,0.65,1.52,1.49,16.58
249,S3,37.7,14.07,40,0,14.5,0.65,1.52,1.49,18.08
250,S3,37.7,14.07,50,0,14.5,0.65,1.52,1.49,18.64
251,S3,37.7,14.07,20,0,10,0.85,1.54,1.49,11.58
252,S3,37.7,14.07,20,0,10,0.85,1.54,1.52,11.61
253,S3,37.7,14.07,20,0,10,0.85,1.54,1.56,12.16
254,S3,37.7,14.07,20,0,10,0.85,1.54,1.6,12
255,S3,37.7,14.07,20,0,10,0.85,1.54,1.64,12.47
256,S3,37.7,14.07,20,0,10,0.85,1.54,1.68,12.62
257,S3,37.7,14.07,20,0,10,0.85,1.54,1.8,13.05
258,S3,37.7,14.07,20,0,10,0.85,1.54,1.91,13.37
259,S3,37.7,14.07,20,0,10,0.85,1.54,1.99,14.32
260,S3,37.7,14.07,20,0,10,0.85,1.54,2.06,15.57
261,S3,37.7,14.07,20,0,10,0.85,1.54,2.14,17.55
262,S3,37.7,14.07,20,0,10,0.85,1.54,2.22,18.33
263,S3,37.7,14.07,20,0,10,0.85,1.54,2.26,18.31
264,S3,37.7,14.07,20,0,12,0.65,1.34,1.49,12.35
265,S3,37.7,14.07,20,0,12,0.65,1.34,1.52,13.03
266,S3,37.7,14.07,20,0,12,0.65,1.34,1.55,13.6
267,S3,37.7,14.07,20,0,12,0.65,1.34,1.58,14.24
268,S3,37.7,14.07,20,0,12,0.65,1.34,1.62,14.7
269,S3,37.7,14.07,20,0,12,0.65,1.34,1.65,15.01
270,S3,37.7,14.07,20,0,12,0.65,1.34,1.75,14.93
271,S3,37.7,14.07,20,0,12,0.65,1.34,1.85,15.27
272,S3,37.7,14.07,20,0,12,0.65,1.34,1.92,14.72
273,S3,37.7,14.07,20,0,12,0.65,1.34,1.99,13.38
274,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.49,12.57
275,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.52,13.54
276,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.56,13.38
277,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.6,13.73
278,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.64,13.7
279,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.67,14.01
280,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.79,14.06
281,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.9,14.03
282,S3,37.7,14.07,20,0,14.5,0.65,1.52,1.98,14.65
283,S3,37.7,14.07,20,0,14.5,0.65,1.52,2.06,14.82
